"Title","Year Recorded","Year Released","Album name","Record Label","Album type","Track number","Song duration","Songwriter(s)","Lead vocal(s)","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Date","Peak  Pos","WoC","WksNo 1","US Cash","US Rec World","AUS[7][61]","UK[5]","US[6]","GER[10]","NLD[12]","FRA","SWI[59]","CAN","POL","Certification"
"LOVE IN VAIN",1969,"1969","Get Yer Ya-Ya's Out!","ABKCO Records","Live","4","04:56","Robert Johnson","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LOVE IS STRONG",1993,"1994","Voodoo Lounge","Virgin","Studio","1","03:50","Jagger/Richards","Jagger",0.01555,0.528,0.853,0.2445,0.0869,-5.122,0.04595,110.122,0.505,39,228006,"16.07. 1994","14","05","00","__","__","__","14","91","40","6","—","29","2","28","__"
"LOVING CUP",1971,"1972","Exile on Main St.","Virgin","Studio","9","04:25","Jagger/Richards","Jagger",0.4552,0.4042,0.8374,0.02413804,0.5942,-5.3584,0.04956,154.8254,0.5696,25.4,288799.6,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LOVING YOU IS SWEETER THAN EVER",1985,NA,"bootleg recording/outtake","/","/","/","/","Ivy Jo Hunter/Stevie Wonder","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LOW DOWN",1997,"1997","Bridges to Babylon","Virgin","Studio","3","04:25","Jagger/Richards","Jagger",0.00288,0.4805,0.9375,9.38e-06,0.126,-4.429,0.04895,116.255,0.6295,24,264153,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LUXURY",1974,"1974","It's Only Rock 'n' Roll","Virgin",NA,"6","05:01","Jagger/Richards","Jagger",0.1446,0.575333333333333,0.849333333333333,0.0216266666666667,0.722333333333333,-7.31733333333333,0.0346666666666667,128.718333333333,0.848333333333333,24,304711,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MANNISH BOY (LIVE)",1977,"1977","Love You Live","Virgin","Live",NA,NA,"Muddy Waters/Mel London/Bo Diddley","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MEAN DISPOSITION",1994,"1994","Voodoo Lounge","Virgin","Studio","15","04:08","Jagger/Richards","Jagger",0.126,0.358,0.914,0.379,0.203,-5.723,0.051,183.848,0.83,25,248506,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MELODY",1975,"1976","Black and Blue","Virgin","Studio","6","05:50","Jagger/Richards","Jagger",0.619,0.601333333333333,0.568333333333333,0.00174333333333333,0.4114,-8.18533333333333,0.0421333333333333,96.7543333333333,0.643,27,326435.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MEMO FROM TURNER",1968,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger (Jagger solo recording)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MEMORY MOTEL",1975,"1976","Black and Blue","Virgin","Studio","4","07:09","Jagger/Richards","Jagger, Richards",0.719333333333333,0.353333333333333,0.609,5.65266666666667e-05,0.335333333333333,-7.677,0.0457,113.707333333333,0.367666666666667,29,411422,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MERCY, MERCY",1964,"1965","Out of Our Heads","ABKCO Records","Studio","1","02:47","Don Covay/Ronnie Miller","Jagger",0.0495,0.711,0.636,0.674,0.0806,-9.935,0.0457,117.807,0.784,9.5,174653,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MIDNIGHT RAMBLER",1969,"1969","Get Yer Ya-Ya's Out!","ABKCO Records","Live","5","09:04","Jagger/Richards","Jagger",0.356863157894737,0.345789473684211,0.821578947368421,0.190957567368421,0.797736842105263,-6.96110526315789,0.0896684210526316,133.005263157895,0.436157894736842,21.5263157894737,635002,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MIGHT AS WELL GET JUICED",1997,"1997","Bridges to Babylon","Virgin","Studio","9","05:23","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MISS AMANDA JONES",1966,"1967","Between the Buttons","ABKCO Records","Studio","11","02:48","Jagger/Richards","Jagger",0.174,0.4065,0.8285,0,0.175,-10.81975,0.06235,118.9825,0.78475,12,166850,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MISS YOU",1977,"1978","Flashpoint","Virgin","Live","4","05:55","Jagger/Richards","Jagger",0.235145555555556,0.550222222222222,0.879055555555556,0.054084615,0.767833333333333,-5.71061111111111,0.0921111111111111,115.992555555556,0.581444444444444,25.3888888888889,535502.777777778,"03.06. 1978","03","13","00","1","3","__","3","1","12","2","1","11","1","__","RIAA: Gold[60]
UK: Silver[17]"
"MIXED EMOTIONS",1989,"1989","Steel Wheels","Virgin","Studio","2","04:38","Jagger/Richards","Jagger",0.120925,0.4855,0.94125,0.0013845,0.768,-5.2445,0.048375,136.833,0.76175,27.5,288462.75,"02.09. 1989","36","05","00","__","__","25","36","5","20","9","41","24","1","39",""
"MONA (I NEED YOU BABY)",1964,"1964","The Rolling Stones, Now!","ABKCO Records","Studio","6","03:35","Bo Diddley","Jagger",0.0700666666666667,0.694333333333333,0.662666666666667,0.000245666666666667,0.0942,-10.6773333333333,0.127666666666667,98.9316666666667,0.421333333333333,18.3333333333333,214697.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MONEY",1963,"1964","The Rolling Stones (EP) (UK)More Hot Rocks (Big Hits & Fazed Cookies) (US)",NA,NA,NA,NA,"Janie Bradford/Berry Gordy","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MONKEY MAN",1969,"1969","Let It Bleed","ABKCO Records","Studio","8","04:11","Jagger/Richards","Jagger",0.238233333333333,0.412888888888889,0.878333333333333,0.0903111111111111,0.499733333333333,-6.72633333333333,0.0562,114.502333333333,0.371555555555556,21.4444444444444,248623.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"MOON IS UP",1994,"1994","Voodoo Lounge","Virgin","Studio","6","03:41","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
