"Title","Year Recorded","Year Released","Album name","Record Label","Album type","Track number","Song duration","Songwriter(s)","Lead vocal(s)","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Date","Peak  Pos","WoC","WksNo 1","US Cash","US Rec World","AUS[7][61]","UK[5]","US[6]","GER[10]","NLD[12]","FRA","SWI[59]","CAN","POL","Certification"
"TOPS",1979,"1981","Tattoo You","Virgin","Studio","8","03:47","Jagger/Richards","Jagger",0.10985,0.588,0.74675,4.06e-05,0.100775,-5.95725,0.042425,80.402,0.68525,25.5,227573,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TORN AND FRAYED",1971,"1972","Exile on Main St.","Virgin","Studio","7","04:18","Jagger/Richards","Jagger, Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TRIED TO TALK HER INTO IT",1982,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TRY A LITTLE HARDER",1964,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TUMBLING DICE",1971,"1972","Exile on Main St.","Virgin","Studio","5","03:47","Jagger/Richards","Jagger",0.295890454545455,0.443636363636364,0.920909090909091,0.149383812272727,0.761863636363636,-5.206,0.0744772727272727,115.215136363636,0.552727272727273,21.5454545454545,278847.590909091,"29.04. 1972","05","08","00","10","4","__","5","7","17","5","—","—","7","__",""
"TURD ON THE RUN",1971,"1972","Exile on Main St.","Virgin","Studio","11","02:38","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TWENTY FLIGHT ROCK (LIVE)",1981,"1982","Still Life","Virgin","Live","5","01:48","Eddie Cochran/Nelda Fairchild","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THE UNDER ASSISTANT WEST COAST PROMOTION MAN",1965,"1965","Out of Our Heads","ABKCO Records","Studio","9","03:07","Nanker Phelge[a]","Jagger",0.087925,0.571,0.67125,1.775e-06,0.2675,-7.8235,0.03525,136.92675,0.6095,11.75,187482.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"UNDER MY THUMB",1966,"1966","Got Live If You Want It!","ABKCO Records / Universal","Live","1","02:54","Jagger/Richards","Jagger",0.165755888888889,0.553444444444444,0.78,0.213421111111111,0.532177777777778,-8.99022222222222,0.0679888888888889,133.361333333333,0.674777777777778,26.1111111111111,221501.777777778,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"UNDER THE BOARDWALK",1964,"1964","The Rolling Stones No.2","Decca","Studio","8","02:46","Kenny Young/Arthur Rednick","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","—","—","—","__",""
"UNDERCOVER OF THE NIGHT",1982,"1983","Undercover","Universal","Studio","1","04:33","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.11. 1983","11","11","00","__","__","27","11","9","20","4","13","18","14","20",""
"UPTIGHT (EVERYTHING'S ALRIGHT)",1972,NA,"bootleg recording/outtake","/","/","/","/","Stevie Wonder/Sylvia Moy/Henry Cosby","Stevie Wonder, Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"VENTILATOR BLUES",1971,"1972","Exile on Main St.","Virgin","Studio","12","03:24","Jagger/Richards/Taylor","Jagger",0.6,0.618,0.678,0.723,0.501,-5.199,0.0316,133.453,0.79,27,204573,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WAITING ON A FRIEND",1972,"1981","No Security","Virgin","Live","8","04:52","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.12. 1981","50","06","00","__","__","44","50","13","—","17","—","—","10","—",""
"(WALKIN' THRU THE) SLEEPY CITY",1964,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WALKING THE DOG",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Rufus Thomas","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WANNA HOLD YOU",1982,"1983","Undercover","Universal","Studio","4","03:52","Jagger/Richards","Richards",0.172825,0.3505,0.9185,0.00121475,0.703,-5.7305,0.1084,129.3995,0.60625,16.75,263889.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WE LOVE YOU",1967,"1967","Non-album single",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","—","—","__","8","—","2","1","10","—","—","__",""
"WE'RE WASTIN' TIME",1964,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WHAT A SHAME",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","5","03:06","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WHAT TO DO",1965,"1966","Aftermath (UK)More Hot Rocks (Big Hits & Fazed Cookies) (US)",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WHEN THE WHIP COMES DOWN",1977,"1978","Some Girls","Universal","Studio","2","04:20","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WHERE THE BOYS GO",1979,"1980","Emotional Rescue","Universal","Studio","6","03:29","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WHO'S BEEN SLEEPING HERE",1966,"1967","Between the Buttons","ABKCO Records","Studio",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WHO'S DRIVING YOUR PLANE?",1966,"1966","No Stone Unturned (UK)Singles Collection: The London Years (US)",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WILD HORSES",1969,"1971","Sticky Fingers","Virgin","Studio","3","05:44","Jagger/Richards","Jagger",0.531615384615385,0.421923076923077,0.515153846153846,0.00339200461538462,0.363415384615385,-7.27246153846154,0.0294769230769231,107.010769230769,0.242846153846154,30.5384615384615,328253,"/ ","/ ","/ ","/ ","18","21","__","—","28","—","—","—","—","11","__","UK: Gold[17]"
"WINNING UGLY",1985,"1986","Dirty Work","Virgin","Studio","6","04:32","Jagger/Richards","Jagger",0.371,0.509,0.931,0.007015,0.6865,-3.122,0.09365,134.29,0.596,18,271666,"/ ","/ ","/ ","/ ","__","__","—","—","—","—","—","—","—","—","—",""
"WINTER",1972,"1973","Goats Head Soup","Interscope / Polydor","Studio","8","05:29","Jagger/Richards","Jagger",0.516333333333333,0.367333333333333,0.584666666666667,0.376333333333333,0.209666666666667,-7.935,0.0339333333333333,99.907,0.581,28.3333333333333,329831,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WISH I'D NEVER MET YOU",1989,"1990","Rarities 1971–2003",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"WORRIED ABOUT YOU",1974,"1981","Tattoo You","Virgin","Studio","7","05:17","Jagger/Richards","Jagger",0.3224,0.412857142857143,0.664714285714286,0.001398,0.2831,-6.39514285714286,0.0371571428571429,85.4818571428571,0.389428571428571,21.1428571428571,354847.285714286,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THE WORST",1993,"1994","Voodoo Lounge","Virgin","Studio","4","02:24","Jagger/Richards","Richards",0.37925,0.385,0.47875,0.00292525,0.523,-13.20575,0.04605,106.186,0.3045,15,177492,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"YESTERDAY'S PAPERS",1966,"1967","Between the Buttons","ABKCO Records","Studio","2","02:05","Jagger/Richards","Jagger",0.137,0.59425,0.573,0,0.20825,-8.13,0.028675,139.85525,0.25375,12.75,123502.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"YOU BETTER MOVE ON",1963,"1964","December's Children (And Everybody's)","ABKCO Records","Studio","3","02:40","Arthur Alexander","Jagger",0.336,0.68775,0.51525,0.01365,0.261,-10.6605,0.037,115.2815,0.6645,14,162996.5,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","—","—","—","__",""
"YOU CAN'T ALWAYS GET WHAT YOU WANT",1968,"1969","Let It Bleed","ABKCO Records","Studio","9","07:28","Jagger/Richards","Jagger",0.396266666666667,0.305933333333333,0.8322,0.01811424,0.732466666666667,-5.935,0.09026,112.767533333333,0.4858,23.4666666666667,457122.333333333,"/ ","/ ","/ ","/ ","34","36","__","—","42","—","—","—","—","—","__",""
"YOU CAN'T CATCH ME",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","3","03:40","Chuck Berry","Jagger",0.0602,0.651666666666667,0.892,0.00511333333333333,0.351,-10.574,0.0464,104.235666666667,0.844666666666667,16.6666666666667,219479.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"YOU CAN MAKE IT IF YOU TRY",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Ted Jarrett","Jagger",0.224,0.699,0.545666666666667,5.01666666666667e-05,0.148333333333333,-9.53,0.0577666666666667,102.625,0.555666666666667,13.6666666666667,121679.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"YOU DON'T HAVE TO MEAN IT",1997,"1997","Bridges to Babylon","Virgin","Studio","6","03:43","Jagger/Richards","Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"YOU GOT ME ROCKING",1993,"1994","No Security","Virgin","Live","2","03:28","Jagger/Richards","Jagger",0.117786333333333,0.424111111111111,0.915333333333333,0.0776588888888889,0.753333333333333,-5.11822222222222,0.108155555555556,132.242777777778,0.355888888888889,20.4444444444444,221175.333333333,"08.10. 1994","23","03","00","__","__","__","23","—","—","39","—","—","29","32","__"
"YOU GOT THE SILVER",1969,"1969","Let It Bleed","ABKCO Records","Studio","7","02:50","Jagger/Richards","Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"YOU GOTTA MOVE",1969,"1971","Sticky Fingers","Virgin","Studio","5","02:33","Fred McDowell/Gary Davis","Jagger",0.614285714285714,0.454857142857143,0.526714285714286,0.0871673285714286,0.493714285714286,-8.20728571428571,0.0612,103.772428571429,0.533142857142857,20.7142857142857,189936.714285714,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"YOU SHOULD HAVE SEEN HER ASS",1972,"1972","bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
